conditionTrigger | SA-kill-RB-Jude-Execution-Final
conditiondDate | 
conditionPeriod | 
conditionDeath | death-
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Раздался выстрел и через мгновение Вы уже мчались по подворотням. Сзади раздавались свистки полиции, но, видимо, они вскоре потеряли Ваш след. Пистолет Вы выбросили и спокойно окольными путями пришли в пивную, откуда отлучились всего полчаса назад – это для алиби, если что.@@@Штурмфюрер Хайнес передал Вам горячую благодарность от высшего руководства.
quotationAuthor | 
pictureName | 714365706-josef-goebbels-heil-hitler-repubblica-di-weimar-tromba.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
