conditionTrigger | Beat-Kozi-Refusal
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Товарищ Лёве выглядел очень расстроенным: «Жаль, очень жаль. Я на Вас рассчитывал. Что ж, забудьте всё, что я сейчас сказал».
quotationAuthor | 
pictureName | stahlhelmloewe_Kamerad Loewe.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | 
