conditionTrigger | Beat-Kozi-Final
conditiondDate | 
conditionPeriod | 
conditionDeath | death+
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | Вас было пятеро против одного, поэтому Вы позволили себе расслабиться, что было ошибкой: у большевика оказался при себе пистолет, и он успел разрядить всю обойму прежде чем его повалили на землю.@@@Пару пуль досталось и Вам. Через два дня Вы умерли от полученных ранений.@@@Местное руководство «Стального шлема» смогло договориться о Вашем погребении на воинском кладбище с соответствующими почестями.
quotationAuthor | 
pictureName | denkm009.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | The-End
