conditionTrigger | SA-kill-RB-Jude-Execution
conditiondDate | 
conditionPeriod | 
conditionDeath | 
conditionOccasion | 
conditionStatus | 
conditionKampfbund | 
conditionPolitical | 
conditionActivism | 
usedMax | 1
captionText | 
mainText | И вот, Вы ожидали, затаившись в темноте прохода во двор, свою жертву. В кармане рука крепко сжимала пистолет, предоставленный Бёттхером. В случае встречи с полицией, конечно, отвертеться не получится.@@@Вот вроде бы идёт этот еврей… да, это он. Вы медленно вытащили руку из кармана и навели пистолет…
quotationAuthor | 
pictureName | zur-dorfschc3a4nke-ebrc3a4erg-10.jpg
effectMoney | 
effectJob | 
effectStatus | 
effectTrigger | SA-kill-RB-Jude-Execution-Final
